URL,Название,Область,Город/Село,Район,Цена,Тип предложения,Площадь участка,Местоположение,Коммуникации,Разное,Правоустанавливающие документы,Возможность рассрочки,Возможность ипотеки,Возможность обмена
,"Участок, 6 соток",Чуйская область,Бишкек,БГУ,$ 290 000,от агента,6 соток,вдоль трассы,"свет, вода","фундамент, дом, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 60 соток",Чуйская область,Бишкек,Политех,$ 1 700 000,от агента,60 соток,вдоль трассы,"свет, газ, вода, канализация","фундамент, хозпостройки, огорожен, удобно под коммерцию, ровный, удобный въезд, все документы","договор купли-продажи, красная книга, зеленая книга",нет,нет,обмен не предлагать
,"Участок, 5 соток",Чуйская область,д/п Бек-Тоо,,$ 40 000,от агента,5 соток,вдоль трассы,"свет, вода",сад,красная книга,нет,нет,обмен не предлагать
,"Участок, 19 соток",Чуйская область,Бишкек,Сквер Тоголок Молдо,$ 900 000,от агента,19 соток,вдоль трассы,"свет, газ, интернет, отопление, вода, канализация","огорожен, времянка, ровный, удобный въезд, все документы","технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 5 соток",Чуйская область,Бишкек,Рабочий Городок,$ 220 000,от агента,5 соток,вдоль трассы,"свет, газ, вода, канализация","огорожен, госакт, удобно под коммерцию, дом, ровный, удобный въезд, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 11 соток",Чуйская область,Бишкек,Лебединовка,$ 380 000,от агента,11 соток,вдоль трассы,"свет, газ, интернет, вода, телефон","огорожен, удобно под коммерцию, дом, удобный въезд, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 8 соток",Чуйская область,с. Кой-Таш,,$ 95 000,от агента,8 соток,вдоль трассы,"свет, газ, интернет, вода, телефон","огорожен, удобно под коммерцию, дом, удобный въезд, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 25 соток",с. Комсомольское,Тупиковая,,$ 280 000,от агента,25 соток,вдоль трассы,"свет, вода","хозпостройки, огорожен, госакт, удобно под коммерцию, удобный въезд, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 5 соток",Чуйская область,д/п Бек-Тоо,,$ 36 000,от агента,5 соток,вдоль трассы,"свет, вода, канализация","фундамент, дом, времянка",красная книга,нет,нет,обмен не предлагать
,"Участок, 9 соток",Чуйская область,Бишкек,Кара-Жыгач ж/м,$ 172 000,от агента,9 соток,вдоль трассы,"свет, вода, канализация","фундамент, дом, времянка",красная книга,нет,нет,обмен не предлагать
,"Участок, 4 сотки",Чуйская область,с. Таш-Добо,,$ 47 000,от агента,4 сотки,вдоль трассы,"свет, вода, канализация","фундамент, дом, времянка",красная книга,нет,нет,обмен не предлагать
,"Участок, 92 сотки",Чуйская область,с. Кашка-Суу,,$ 10 500,от агента,92 сотки,вдоль трассы,"свет, вода, канализация","фундамент, дом, времянка",красная книга,нет,нет,обмен не предлагать
,"Участок, 11 соток",Чуйская область,Бишкек,Мадина,$ 450 000,от агента,11 соток,в городе,"свет, газ, интернет, вода, телефон, канализация","хозпостройки, огорожен, госакт, удобно под коммерцию, дом, ровный, удобный въезд, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,с доплатой покупателя
,"Участок, 15 соток",с. Кызыл-Туу,Заречная,,$ 65 000,от агента,15 соток,в городе,"свет, газ, интернет, вода, телефон, канализация","хозпостройки, огорожен, госакт, удобно под коммерцию, дом, ровный, удобный въезд, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,с доплатой покупателя
,"Участок, 8 соток",с. Новопокровка,Ленина 593/Кирова,,$ 160 000,от собственника,8 соток,в городе,"свет, газ, вода","хозпостройки, огорожен, госакт, удобно под коммерцию, дом, ровный, удобный въезд, все документы",красная книга,нет,нет,с доплатой покупателя
,"Участок, 8 соток",Чуйская область,с. Байтик,,$ 155 000,от агента,8 соток,в городе,"свет, газ, вода","хозпостройки, огорожен, госакт, удобно под коммерцию, дом, ровный, удобный въезд, все документы",красная книга,нет,нет,с доплатой покупателя
,"Участок, 92 сотки",Чуйская область,с. Кашка-Суу,,$ 1 012 000,от агента,92 сотки,в городе,"свет, газ, вода","хозпостройки, огорожен, госакт, удобно под коммерцию, дом, ровный, удобный въезд, все документы",красная книга,нет,нет,с доплатой покупателя
,"Участок, 19 соток",Чуйская область,с. Байтик,,$ 285 000,от агента,19 соток,в городе,"свет, газ, вода","хозпостройки, огорожен, госакт, удобно под коммерцию, дом, ровный, удобный въезд, все документы",красная книга,нет,нет,с доплатой покупателя
,"Участок, 280 соток",Чуйская область,Токмок,,$ 300 000,от агента,280 соток,в городе,"свет, газ, вода, канализация","все документы, удобный въезд, ровный, удобно под коммерцию","договор купли-продажи, красная книга",нет,нет,с доплатой покупателя
,"Участок, 120 соток",Иссык-Кульская область,с. Чок-Тал,,$ 160 000,от агента,120 соток,в городе,"свет, газ, вода, канализация","все документы, удобный въезд, ровный, удобно под коммерцию","договор купли-продажи, красная книга",нет,нет,с доплатой покупателя
,"Участок, 6 соток",Чуйская область,Бишкек,Кара-Жыгач ж/м,$ 180 000,от агента,6 соток,в городе,"газ, свет, интернет, отопление, вода, канализация","все документы, удобный въезд, ровный, удобно под коммерцию","договор купли-продажи, красная книга, технический паспорт",нет,нет,с доплатой покупателя
,"Участок, 7.5 соток",Чуйская область,Бишкек,Баха,$ 207 000,от агента,7.5 соток,в городе,"свет, интернет, канализация, вода, газ","все документы, удобный въезд, ровный, удобно под коммерцию","договор купли-продажи, красная книга, технический паспорт",нет,нет,с доплатой покупателя
,"Участок, 10 соток",Чуйская область,Бишкек,Московская - Белинка,$ 700 000,от агента,10 соток,в городе,"свет, газ, интернет, отопление, вода, канализация","хозпостройки, огорожен, дом, удобный въезд, все документы, ровный, времянка, удобно под коммерцию","договор купли-продажи, технический паспорт, акт ввода в эксплуатацию, красная книга",нет,нет,с доплатой покупателя
,"Участок, 10 соток",Чуйская область,с. Кашка-Суу,,$ 150 000,от агента,10 соток,в городе,свет,"хозпостройки, огорожен, дом, удобный въезд, все документы, ровный, времянка, удобно под коммерцию",красная книга,нет,нет,с доплатой покупателя
,"Участок, 8 соток",Чуйская область,с. Кой-Таш,,$ 89 000,от агента,8 соток,вдоль трассы,"свет, вода","удобно под коммерцию, ровный, все документы","договор купли-продажи, красная книга",нет,нет,с доплатой покупателя
,"Участок, 92 сотки",Чуйская область,с. Кашка-Суу,,$ 11 000,от агента,92 сотки,вдоль трассы,"свет, вода","хозпостройки, ровный, удобно под коммерцию, все документы","договор купли-продажи, красная книга",нет,нет,с доплатой покупателя
,"Участок, 2 сотки",Чуйская область,Бишкек,Московская - Белинка,$ 240 000,от агента,2 сотки,в городе,"свет, газ, отопление, вода, канализация","хозпостройки, огорожен, удобно под коммерцию, дом, ровный, удобный въезд, все документы","договор купли-продажи, технический паспорт, акт ввода в эксплуатацию, красная книга",нет,нет,с доплатой покупателя
,"Участок, 10 соток",Чуйская область,с. Арашан,,$ 66 000,от агента,10 соток,в городе,"свет, газ, отопление, вода, канализация","хозпостройки, огорожен, удобно под коммерцию, дом, ровный, удобный въезд, все документы","договор купли-продажи, красная книга, технический паспорт",нет,нет,с доплатой покупателя
,"Участок, 8 соток",Чуйская область,Бишкек,Кара Дарыя,$ 750 000,от агента,8 соток,в городе,"свет, газ, интернет, отопление, вода, телефон, канализация","все документы, ровный, времянка, фундамент, сад, хозпостройки, огорожен, удобно под коммерцию, удобный въезд","договор купли-продажи, технический паспорт, акт ввода в эксплуатацию, красная книга",нет,нет,рассмотрю варианты
,"Участок, 2 сотки",Чуйская область,Бишкек,Ипподром,$ 120 000,от агента,2 сотки,в городе,"свет, газ, интернет, отопление, вода, телефон, канализация","фундамент, хозпостройки, огорожен, госакт, времянка, ровный, удобный въезд, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 5 соток",Чуйская область,Бишкек,Айкол,$ 160 000,от агента,5 соток,в городе,"свет, газ, интернет, отопление, канализация, телефон","фундамент, хозпостройки, огорожен, госакт, времянка, ровный, удобный въезд, все документы","договор купли-продажи, красная книга",нет,нет,обмен не предлагать
,"Участок, 5 соток",Чуйская область,Бишкек,Айкол,$ 185 000,от агента,5 соток,в городе,"свет, газ, интернет, вода, телефон, канализация","фундамент, хозпостройки, огорожен, госакт, времянка, ровный, удобный въезд, все документы","договор купли-продажи, красная книга",нет,нет,обмен не предлагать
,"Участок, 8 соток",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 360 000,от агента,8 соток,в городе,"свет, газ, вода, канализация","огорожен, все документы","договор купли-продажи, красная книга",нет,нет,обмен не предлагать
,"Участок, 8 соток",Чуйская область,Бишкек,Ынтымак ж/м,$ 340 000,от агента,8 соток,в городе,"свет, газ, интернет, вода, телефон, канализация","огорожен, все документы","договор купли-продажи, красная книга",нет,нет,обмен не предлагать
,"Участок, 12 соток",Чуйская область,Бишкек,с. Кок-Джар,$ 275 000,от агента,12 соток,в городе,"свет, газ, вода","сад, хозпостройки, огорожен, дом, ровный, все документы, удобный въезд","договор дарения, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 8.3 соток",Чуйская область,Бишкек,с. Аламудун,$ 250 000,от агента,8.3 соток,в городе,"свет, газ, вода","сад, хозпостройки, огорожен, дом, ровный, все документы, удобный въезд","договор дарения, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 7.8 соток",Чуйская область,Бишкек,с. Аламудун,$ 212 000,от агента,7.8 соток,в городе,"свет, газ, вода","сад, хозпостройки, огорожен, дом, ровный, все документы, удобный въезд","технический паспорт, красная книга, свидетельство о праве на наследство",нет,нет,обмен не предлагать
,"Участок, 4 сотки",Чуйская область,Бишкек,ж/м Ала-Арча 2,$ 71 000,от агента,4 сотки,в городе,"свет, газ, вода","сад, хозпостройки, огорожен, дом, ровный, все документы, удобный въезд","технический паспорт, красная книга, свидетельство о праве на наследство",нет,нет,обмен не предлагать
,"Участок, 800 соток",Чуйская область,с. Арал (Чуйский р-н),,$ 625 000,от агента,800 соток,в городе,"свет, газ, вода","сад, хозпостройки, огорожен, дом, ровный, все документы, удобный въезд","технический паспорт, красная книга, свидетельство о праве на наследство",нет,нет,обмен не предлагать
,"Участок, 45 соток",Чуйская область,с. Новопокровка,,$ 490 000,от агента,45 соток,в городе,"свет, газ, вода","сад, хозпостройки, огорожен, дом, ровный, все документы, удобный въезд","технический паспорт, красная книга, свидетельство о праве на наследство",нет,нет,обмен не предлагать
,"Участок, 5 соток",Чуйская область,Бишкек,с. Маевка,$ 36 000,от агента,5 соток,в пригороде,"свет, газ, интернет, вода","хозпостройки, госакт, времянка, ровный, удобный въезд, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 4 сотки",с. Новопокровка,Ч.Айтматова 93а,,$ 44 000,от агента,4 сотки,в пригороде,"свет, газ, вода","фундамент, госакт, ровный, удобный въезд, все документы","технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 320 соток",Чуйская область,Бишкек,с. Мыкан,$ 155 000,от агента,320 соток,в пригороде,"свет, газ, вода","ровный, удобный въезд, все документы","договор дарения, зеленая книга",нет,нет,обмен не предлагать
,"Участок, 25 соток",Чуйская область,Бишкек,Джальская больница,$ 1 300 000,от агента,25 соток,в пригороде,"свет, газ, вода","ровный, удобный въезд, все документы","договор дарения, зеленая книга",нет,нет,обмен не предлагать
,"Участок, 90 соток",Чуйская область,с. Беш-Кунгей,,$ 165 000,от агента,90 соток,в пригороде,"свет, газ, вода","ровный, удобный въезд, все документы","договор дарения, зеленая книга",нет,нет,обмен не предлагать
,"Участок, 5 соток",Чуйская область,Бишкек,Тоголок молдо- Куренкеева,$ 147 000,от агента,5 соток,в пригороде,"свет, газ, вода","ровный, удобный въезд, все документы","договор дарения, зеленая книга",нет,нет,обмен не предлагать
,"Участок, 27 соток",Иссык-Кульская область,с. Чон-Сары-Ой,,$ 175 000,от агента,27 соток,вдоль трассы,"свет, газ, вода","ровный, удобный въезд, все документы","договор дарения, зеленая книга",нет,нет,обмен не предлагать
,"Участок, 20 соток",Чуйская область,Бишкек,с. Калтар,$ 360 000,от агента,20 соток,вдоль трассы,"свет, газ, вода","ровный, удобный въезд, все документы","договор дарения, зеленая книга",нет,нет,обмен не предлагать
,"Участок, 6 соток",Чуйская область,Бишкек,Рабочий Городок,$ 220 000,от агента,6 соток,вдоль трассы,"свет, газ, вода","ровный, удобный въезд, все документы","договор дарения, зеленая книга",нет,нет,обмен не предлагать
,"Участок, 4.2 сотки",Чуйская область,Бишкек,Келечек ж/м,$ 85 000,от агента,4.2 сотки,вдоль трассы,"свет, газ, вода","ровный, удобный въезд, все документы","договор дарения, зеленая книга",нет,нет,обмен не предлагать
,"Участок, 7 соток",Чуйская область,Бишкек,Сквер Тоголок Молдо,$ 350 000,от агента,7 соток,вдоль трассы,"отопление, канализация","ровный, удобный въезд, все документы","договор дарения, зеленая книга",нет,нет,обмен не предлагать
,"Участок, 15 соток",Чуйская область,с. Беш-Кунгей,,$ 225 000,от агента,15 соток,возле водоема,"свет, газ, интернет, отопление, вода, телефон, канализация","ровный, удобный въезд, все документы","договор купли-продажи, красная книга",нет,нет,обмен не предлагать
,"Участок, 6 соток",Чуйская область,Бишкек,Чуй - Алматинка,$ 120 000,от агента,6 соток,в городе,"свет, газ, интернет, вода, телефон, канализация","сад, огорожен, хозпостройки, госакт, дом, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 12 соток",Чуйская область,с. Байтик,,$ 125 000,от агента,12 соток,в городе,"свет, вода",хозпостройки,"договор купли-продажи, красная книга",нет,нет,обмен не предлагать
,"Участок, 5 соток",Чуйская область,с. Беш-Кунгей,,$ 65 000,от агента,5 соток,в городе,"свет, вода",хозпостройки,"договор купли-продажи, красная книга",нет,нет,обмен не предлагать
,"Участок, 25 соток",Чуйская область,с. Арашан,,$ 225 000,от агента,25 соток,в городе,"свет, вода",хозпостройки,"договор купли-продажи, красная книга",нет,нет,обмен не предлагать
,"Участок, 17 соток",Чуйская область,с. Арашан,,$ 150 000,от агента,17 соток,в городе,"свет, вода",хозпостройки,"договор купли-продажи, красная книга",нет,нет,обмен не предлагать
,"Участок, 100 соток",Чуйская область,Бишкек,Ак-Бата ж/м,$ 195 000,от агента,100 соток,вдоль трассы,"свет, вода","сад, удобно под коммерцию, ровный, удобный въезд, все документы","договор купли-продажи, зеленая книга",нет,нет,обмен на авто
,"Участок, 15 соток",с. Баш-Кара-Суу,Безымянная,,$ 150 000,от агента,15 соток,вдоль трассы,"свет, вода","ровный, удобный въезд, все документы","договор купли-продажи, красная книга",нет,нет,обмен на авто
,"Участок, 200 соток",Иссык-Кульская область,Каракол,,$ 300 000,от агента,200 соток,вдоль трассы,"свет, вода","ровный, удобный въезд, все документы","договор купли-продажи, красная книга",нет,нет,обмен на авто
,"Участок, 150 соток",Чуйская область,Кемин,,$ 160 000,от агента,150 соток,вдоль трассы,"свет, вода","ровный, удобный въезд, все документы","договор купли-продажи, красная книга",нет,нет,обмен на авто
,"Участок, 15 соток",с. Кызыл-Туу,Жумабаева,,$ 50 000,от агента,15 соток,в пригороде,"свет, вода","фундамент, ровный, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 15 соток",с. Кызыл-Туу,Асанбек жылжымышев 50в,,$ 50 000,от агента,15 соток,в пригороде,"свет, вода","фундамент, ровный","договор купли-продажи, красная книга",нет,нет,рассмотрю варианты
,"Участок, 30 соток",Чуйская область,Бишкек,с. Верхний Орок,$ 785 000,от агента,30 соток,вдоль трассы,"свет, вода, канализация","хозпостройки, фундамент, все документы, удобный въезд, удобно под коммерцию, госакт","красная книга, технический паспорт, договор купли-продажи",нет,нет,обмен не предлагать
,"Участок, 8 соток",Чуйская область,с. Бир-Булак,,$ 93 000,от агента,8 соток,в дачном массиве,"свет, вода","хозпостройки, фундамент, все документы, удобный въезд, удобно под коммерцию, госакт","технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 70 соток",Иссык-Кульская область,с. Чон-Сары-Ой,,$ 390 000,от агента,70 соток,в дачном массиве,"свет, вода","хозпостройки, фундамент, все документы, удобный въезд, удобно под коммерцию, госакт","технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 10 соток",Чуйская область,с. Кашка-Суу,,$ 135 000,от агента,10 соток,в дачном массиве,"свет, вода","хозпостройки, фундамент, все документы, удобный въезд, удобно под коммерцию, госакт","технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 5 соток",Чуйская область,Бишкек,Рабочий Городок,$ 165 000,от агента,5 соток,в дачном массиве,"свет, вода","хозпостройки, фундамент, все документы, удобный въезд, удобно под коммерцию, госакт","технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 4 сотки",Чуйская область,Бишкек,Мед. академия,$ 455 000,от агента,4 сотки,в городе,"свет, газ, вода, канализация","фундамент, сад, хозпостройки, огорожен, госакт, удобно под коммерцию, дом, ровный, удобный въезд, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 139 соток",Чуйская область,Бишкек,Жибек-Жолу - Лермонтова,$ 3 000 000,от собственника,139 соток,в городе,"свет, газ, интернет, вода, канализация, телефон","фундамент, хозпостройки, огорожен, госакт, удобно под коммерцию, дом, времянка, ровный, удобный въезд, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 50 соток",Чуйская область,Сокулук,,$ 450 000,от агента,50 соток,в городе,"свет, газ, интернет, вода, канализация, телефон","фундамент, хозпостройки, огорожен, госакт, удобно под коммерцию, дом, времянка, ровный, удобный въезд, все документы",красная книга,нет,нет,обмен не предлагать
,"Участок, 25 соток",Чуйская область,Кемин,,$ 60 000,от агента,25 соток,вдоль трассы,"свет, вода","госакт, удобно под коммерцию, удобный въезд, все документы",красная книга,нет,нет,обмен не предлагать
,"Участок, 7.8 соток",Чуйская область,Бишкек,Чуй - Алматинка,$ 390 000,от собственника,7.8 соток,вдоль трассы,"свет, газ, интернет, вода, телефон",все документы,"технический паспорт, красная книга, свидетельство о праве на наследство",нет,нет,обмен не предлагать
,"Участок, 80 соток",д/п Бек-Тоо,проектируемая,,$ 37 000,от агента,80 соток,вдоль трассы,"свет, газ, интернет, вода, телефон",все документы,"технический паспорт, красная книга, свидетельство о праве на наследство",нет,нет,обмен не предлагать
,"Участок, 18 соток",Чуйская область,Токмок,,$ 89 000,от агента,18 соток,в городе,"свет, вода","огорожен, дом, времянка, ровный, удобный въезд, все документы","красная книга, свидетельство о праве на наследство",нет,есть,обмен не предлагать
,"Участок, 5 соток",Чуйская область,Бишкек,с. Кок-Джар,$ 140 000,от агента,5 соток,в городе,"свет, газ, вода, канализация","фундамент, огорожен, госакт, удобно под коммерцию, ровный, удобный въезд, все документы","договор купли-продажи, красная книга",нет,есть,обмен не предлагать
,"Участок, 11.5 соток",Чуйская область,с. Кашка-Суу,,$ 128 000,от агента,11.5 соток,в городе,"свет, вода","фундамент, огорожен, госакт, удобно под коммерцию, ровный, удобный въезд, все документы","договор купли-продажи, красная книга",нет,есть,обмен не предлагать
,"Участок, 8 соток",Иссык-Кульская область,Чолпон-Ата,,$ 29 000,от агента,8 соток,в городе,"свет, вода","огорожен, госакт, удобно под коммерцию, ровный, все документы",красная книга,нет,нет,обмен не предлагать
,"Участок, 16 соток",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 720 000,от агента,16 соток,в городе,"свет, газ, вода, канализация","ровный, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 5 соток",Чуйская область,с. Кашка-Суу,,$ 95 000,от агента,5 соток,в городе,"свет, газ, вода, канализация","ровный, все документы","договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать
,"Участок, 4 сотки",Чуйская область,Бишкек,Матросова,$ 250 000,от агента,4 сотки,в городе,"свет, газ, вода, канализация","фундамент, сад, хозпостройки, огорожен, госакт, дом, ровный, все документы","договор купли-продажи, технический паспорт, красная книга",есть,есть,рассмотрю варианты
,"Участок, 10 соток",Чуйская область,Бишкек,с. Чон-Арык,$ 320 000,от агента,10 соток,в городе,"свет, газ, вода, канализация","фундамент, сад, хозпостройки, огорожен, госакт, дом, ровный, все документы","договор купли-продажи, технический паспорт, красная книга",есть,есть,рассмотрю варианты
,"Участок, 5.13 соток",Чуйская область,Бишкек,Чуй - Алматинка,$ 105 000,от собственника,5.13 соток,в городе,"свет, газ, вода, канализация","огорожен, времянка, все документы","договор купли-продажи, технический паспорт, красная книга",есть,есть,рассмотрю варианты
,"Участок, 130 соток",с. Лесное (Сокулукский р-н),Оъездная,,$ 720 000,от агента,130 соток,в городе,"свет, газ, вода, канализация","огорожен, времянка, все документы","договор купли-продажи, технический паспорт, красная книга",есть,есть,рассмотрю варианты
,"Участок, 5 соток",д/п Бек-Тоо,21-линия,,$ 32 000,от агента,5 соток,в городе,"свет, газ, вода, канализация","огорожен, времянка, все документы","договор купли-продажи, технический паспорт, красная книга",есть,есть,рассмотрю варианты
,"Участок, 15 соток",Чуйская область,с. Кашка-Суу,,$ 154 000,от агента,15 соток,в городе,"свет, вода","огорожен, времянка, все документы",красная книга,нет,нет,рассмотрю варианты
,"Участок, 15 соток",Чуйская область,с. Кашка-Суу,,$ 153 000,от агента,15 соток,в городе,"свет, вода","огорожен, времянка, все документы",красная книга,нет,нет,рассмотрю варианты
,"Участок, 4.3 сотки",Чуйская область,Бишкек,с. Нижняя Ала-Арча,$ 43 000,от агента,4.3 сотки,в городе,"свет, вода","сад, хозпостройки, огорожен, госакт, дом, ровный, все документы",красная книга,нет,нет,обмен не предлагать
,"Участок, 7 соток",Чуйская область,с. Кой-Таш,,$ 135 000,от агента,7 соток,в городе,"свет, интернет, вода, телефон","госакт, ровный, удобный въезд, все документы","договор купли-продажи, красная книга",нет,нет,обмен не предлагать
,"Участок, 5 соток",Чуйская область,с. Кой-Таш,,$ 61 000,от агента,5 соток,в городе,"свет, интернет, вода, телефон","сад, госакт, ровный, все документы","договор купли-продажи, красная книга",нет,нет,обмен не предлагать
,"Участок, 4 сотки",Чуйская область,Бишкек,Салам-Алик ж/м,$ 95 000,от агента,4 сотки,в городе,"свет, газ, интернет, вода, телефон, канализация","сад, огорожен, удобно под коммерцию, дом, времянка, ровный, удобный въезд, все документы","договор купли-продажи, технический паспорт",нет,нет,обмен не предлагать
,"Участок, 4 сотки",Чуйская область,Бишкек,Ак-Ордо 3 ж/м,$ 30 000,от агента,4 сотки,в городе,"свет, вода","сад, огорожен, удобно под коммерцию, дом, времянка, ровный, удобный въезд, все документы","договор купли-продажи, технический паспорт",нет,нет,обмен не предлагать
,"Участок, 5 соток",Чуйская область,с. Кой-Таш,,$ 57 000,от агента,5 соток,в городе,"свет, вода","сад, огорожен, удобно под коммерцию, дом, времянка, ровный, удобный въезд, все документы",красная книга,нет,нет,обмен не предлагать
,"Участок, 10 соток",Чуйская область,с. Беш-Кунгей,,$ 145 000,от агента,10 соток,в городе,"свет, вода","сад, огорожен, удобно под коммерцию, дом, времянка, ровный, удобный въезд, все документы",красная книга,нет,нет,обмен не предлагать
,"Участок, 15 соток",Чуйская область,с. Кой-Таш,,$ 160 000,от агента,15 соток,в городе,"свет, вода, канализация","сад, хозпостройки, огорожен, ровный, удобный въезд, все документы","договор купли-продажи, красная книга",нет,нет,обмен не предлагать
,"Участок, 30 соток",Сокулук,беш куйрук,,$ 32 000,от агента,30 соток,в городе,"свет, вода",все документы,"договор купли-продажи, красная книга",нет,нет,обмен не предлагать
,"Участок, 8 соток",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 210 000,от агента,8 соток,в городе,"свет, газ, отопление, вода, канализация",все документы,"договор купли-продажи, красная книга",нет,нет,обмен не предлагать
,"Участок, 6 соток",Чуйская область,с. Арчалы,,$ 47 500,от агента,6 соток,в пригороде,"свет, вода",все документы,красная книга,нет,нет,обмен не предлагать
,"Участок, 4 сотки",Чуйская область,с. Таш-Добо,,$ 51 000,от агента,4 сотки,в пригороде,"свет, вода",фундамент,красная книга,нет,нет,обмен не предлагать
,"Участок, 8 соток",Чуйская область,Бишкек,с. Сарбан,$ 55 000,от агента,8 соток,в пригороде,"свет, вода",фундамент,красная книга,нет,нет,обмен не предлагать
,"Участок, 4 сотки",Чуйская область,Бишкек,ж/м Ала-Арча 2,$ 85 000,от агента,4 сотки,в пригороде,"свет, вода",фундамент,красная книга,нет,нет,обмен не предлагать
,"Участок, 8 соток",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 250 000,от агента,8 соток,в пригороде,"свет, газ, вода, канализация","сад, хозпостройки, огорожен, госакт, времянка, удобный въезд, все документы",договор купли-продажи,нет,нет,обмен не предлагать
,"Участок, 8.5 соток",Чуйская область,с. Баш-Кара-Суу,,$ 92 000,от агента,8.5 соток,в пригороде,"свет, вода","сад, хозпостройки, огорожен, госакт, времянка, удобный въезд, все документы",красная книга,нет,нет,обмен не предлагать
,"Участок, 3 сотки",Чуйская область,Бишкек,Ак-Ордо 3 ж/м,$ 33 500,от агента,3 сотки,в пригороде,"свет, вода, канализация","фундамент, госакт",красная книга,нет,нет,обмен не предлагать
,"Участок, 51 сотка",Чуйская область,Чункурчак,,$ 51 000,от агента,51 сотка,в пригороде,"свет, вода, канализация","фундамент, госакт",красная книга,нет,нет,обмен не предлагать
,"Участок, 117 соток",Чуйская область,Чункурчак,,$ 350 000,от агента,117 соток,в пригороде,"свет, вода, канализация","фундамент, госакт",красная книга,нет,нет,обмен не предлагать
