URL,Название,Область,Город/Село,Район,Цена,Тип предложения,Дом,Кол-во этажей,Площадь,Площадь участка,Отопление,Состояние,Телефон,Интернет,Санузел,Канализация,Питьевая вода,Электричество,Газ,Мебель,Пол,Безопасность,Высота потолков,Правоустанавливающие документы,Возможность рассрочки,Возможность ипотеки,Возможность обмена,Разное,Серия,Входная дверь,Местоположение,Коммуникации,Парковка
,"Дом, 6 и более комнат, 366 м2",Чуйская область,Бишкек,Достук м-н,$ 140 000,от агента,"кирпичный, 2003 г.",2,"366 м2, жилая: 366 м2",5 соток,на газе,хорошее,возможно подключение,оптика,совмещенный,септик,центральное водоснабжение,есть,магистральный,частично меблирована,дерево,"решетки на окнах, сигнализация, видеонаблюдение",250 м.,"договор дарения, технический паспорт, красная книга",нет,нет,рассмотрю варианты,"пластиковые окна, баня, бассейн, сад, хозпостройки, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 64 м2",Чуйская область,Бишкек,Матросова,$ 130 000,от агента,"кирпичный, 2003 г.",1,"64 м2, жилая: 64 м2",5.7 соток,на газе,хорошее,возможно подключение,оптика,совмещенный,септик,центральное водоснабжение,есть,магистральный,частично меблирована,дерево,"решетки на окнах, сигнализация, видеонаблюдение",250 м.,"договор дарения, технический паспорт, красная книга",нет,есть,рассмотрю варианты,"пластиковые окна, баня, бассейн, сад, хозпостройки, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, свободная планировка, 220 м2",Чуйская область,Бишкек,Тынчтык м-н,$ 175 000,от агента,"пеноблочный, 2024 г.",2,220 м2,5 соток,на газе,под самоотделку (псо),возможно подключение,проводной,раздельный,центральная,центральное водоснабжение,есть,автономный,частично меблирована,дерево,"решетки на окнах, сигнализация, видеонаблюдение",3 м.,красная книга,нет,нет,рассмотрю варианты,"баня, хозпостройки, навес, гараж",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 228 м2",Чуйская область,Бишкек,Кок-Жар м-н,$ 285 000,от агента,"кирпичный, 2015 г.",1,"228 м2, жилая: 228 м2",4.7 сотки,на газе,хорошее,возможно подключение,оптика,совмещенный,септик,центральное водоснабжение,есть,магистральный,частично меблирована,дерево,"решетки на окнах, сигнализация, видеонаблюдение",250 м.,"договор дарения, технический паспорт, красная книга",нет,есть,рассмотрю варианты,"пластиковые окна, баня, бассейн, сад, хозпостройки, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 67 м2",Чуйская область,Бишкек,с. Маевка 48/М  Ганди,$ 92 000,от собственника,"кирпичный, 2003 г.",1,"67 м2, жилая: 47 м2, кухня: 15 м2",9 соток,на газе,хорошее,возможно подключение,оптика,совмещенный,септик,центральное водоснабжение,есть,магистральный,частично меблирована,дерево,"решетки на окнах, сигнализация, видеонаблюдение",250 м.,"договор дарения, технический паспорт, красная книга",нет,есть,рассмотрю варианты,"пластиковые окна, баня, бассейн, сад, хозпостройки, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 3-комн., 90 м2",с. Кызыл-Туу,Конок,,$ 86 000,от агента,"кирпичный, 2003 г.",1,"90 м2, жилая: 90 м2",15 соток,на газе,хорошее,возможно подключение,оптика,совмещенный,септик,центральное водоснабжение,есть,магистральный,частично меблирована,дерево,"решетки на окнах, сигнализация, видеонаблюдение",250 м.,"договор дарения, технический паспорт, красная книга",нет,есть,рассмотрю варианты,"пластиковые окна, баня, бассейн, сад, хозпостройки, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 277 м2",Чуйская область,Бишкек,с. Кок-Джар,$ 205 000,от агента,кирпичный,2,"277 м2, жилая: 277 м2",3.5 сотки,смешанное,хорошее,возможно подключение,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,ламинат,"решетки на окнах, сигнализация, видеонаблюдение",250 м.,"технический паспорт, договор купли-продажи, красная книга",нет,нет,рассмотрю варианты,"пластиковые окна, баня, бассейн, сад, хозпостройки, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 3-комн., 90 м2",с. Таш-Добо,Абыкан-Ата,,$ 150 000,от агента,"кирпичный, 1985 г.",1,"90 м2, жилая: 90 м2",18 соток,смешанное,хорошее,возможно подключение,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,ламинат,"решетки на окнах, сигнализация, видеонаблюдение",250 м.,"договор купли-продажи, технический паспорт, красная книга",нет,есть,рассмотрю варианты,"пластиковые окна, баня, бассейн, сад, хозпостройки, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 300 м2",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 355 000,от агента,кирпичный,2,"300 м2, жилая: 300 м2",8 соток,смешанное,хорошее,возможно подключение,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,ламинат,"решетки на окнах, сигнализация, видеонаблюдение",250 м.,"технический паспорт, договор купли-продажи, красная книга",нет,есть,рассмотрю варианты,"пластиковые окна, баня, бассейн, сад, хозпостройки, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 130 м2",Чуйская область,Бишкек,с. Селекционное,$ 275 000,от агента,кирпичный,1,130 м2,9 соток,смешанное,хорошее,возможно подключение,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,ламинат,"решетки на окнах, сигнализация, видеонаблюдение",250 м.,"технический паспорт, красная книга",нет,есть,рассмотрю варианты,"пластиковые окна, баня, бассейн, сад, хозпостройки, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 395 м2",Чуйская область,Бишкек,Киргизия 1 ж/м,$ 550 000,от агента,"кирпичный, 1985 г.",3,"395 м2, жилая: 395 м2",8 соток,смешанное,хорошее,возможно подключение,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,ламинат,"решетки на окнах, сигнализация, видеонаблюдение",250 м.,"договор купли-продажи, технический паспорт, красная книга",нет,есть,рассмотрю варианты,"пластиковые окна, баня, бассейн, сад, хозпостройки, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 3-комн., 75 м2",Чуйская область,Бишкек,Кузнечная крепость,$ 115 000,от агента,кирпичный,1,75 м2,3 сотки,смешанное,хорошее,возможно подключение,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,ламинат,"решетки на окнах, сигнализация, видеонаблюдение",250 м.,"технический паспорт, договор купли-продажи, красная книга",нет,есть,рассмотрю варианты,"пластиковые окна, баня, бассейн, сад, хозпостройки, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 3-комн., 50 м2",Иссык-Кульская область,с. Кара-Ой,,$ 56 000,от агента,"кирпичный, 2017 г.",2,"50 м2, жилая: 50 м2",0.5,смешанное,хорошее,нет,проводной,совмещенный,центральная,центральное водоснабжение,есть,магистральный,полностью меблирована,дерево,"решетки на окнах, сигнализация, видеонаблюдение",250 м.,договор купли-продажи,нет,есть,обмен не предлагать,"пластиковые окна, баня, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 250 м2",Чуйская область,Бишкек,Ынтымак ж/м,$ 310 000,от агента,кирпичный,2,250 м2,9 соток,смешанное,хорошее,возможно подключение,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,ламинат,"решетки на окнах, сигнализация, видеонаблюдение",250 м.,"договор купли-продажи, технический паспорт, красная книга",нет,нет,рассмотрю варианты,"пластиковые окна, баня, бассейн, сад, хозпостройки, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 108 м2",Чуйская область,Бишкек,Киргизия 1 ж/м,$ 250 000,от агента,"кирпичный, 2001 г.",2,"108 м2, жилая: 108 м2",5.8 соток,на газе,хорошее,нет,проводной,раздельный,септик,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,"решетки на окнах, сигнализация, видеонаблюдение",3 м.,"технический паспорт, красная книга",нет,есть,обмен не предлагать,"сауна, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 80 м2",Чуйская область,Бишкек,с. Аламудун,$ 80 000,от агента,другое,1,80 м2,13 соток,на газе,среднее,нет,проводной,совмещенный,септик,центральное водоснабжение,есть,магистральный,пустая,дерево,"решетки на окнах, сигнализация, видеонаблюдение",250 м.,"технический паспорт, красная книга",нет,нет,обмен не предлагать,"сад, хозпостройки, гараж, веранда",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 400 м2",Иссык-Кульская область,Каракол,,$ 225 000,от агента,"кирпичный, 2017 г.",2,400 м2,9 соток,смешанное,хорошее,нет,проводной,совмещенный,центральная,центральное водоснабжение,есть,магистральный,полностью меблирована,дерево,"решетки на окнах, сигнализация, видеонаблюдение",250 м.,договор купли-продажи,нет,нет,обмен не предлагать,"пластиковые окна, баня, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 103.4 м2",Чуйская область,Бишкек,Колмо ж/м,$ 80 000,от агента,кирпичный,1,"103.4 м2, жилая: 103.4 м2",5 соток,электрическое,евроремонт,нет,проводной,раздельный,септик,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,"решетки на окнах, сигнализация, видеонаблюдение",3 м.,"технический паспорт, красная книга",нет,есть,обмен не предлагать,"сауна, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 252.5 м2",с. Беш-Кунгей,Токсумакова Карыпбая,,$ 350 000,от агента,"кирпичный, 2024 г.",2,"252.5 м2, жилая: 252.5 м2",7 соток,на газе,евроремонт,нет,проводной,совмещенный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,ламинат,"домофон, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, технический паспорт, красная книга",нет,есть,обмен на авто,"пластиковые окна, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 128 м2",Кант,Центральная (базарчик)/Пушкина,,$ 75 000,от агента,кирпичный,1,50 м2,3 сотки,на газе,хорошее,возможно подключение,проводной,нет,возможно подведение,центральное водоснабжение,есть,магистральный,пустая,линолеум,"решетки на окнах, сигнализация, видеонаблюдение",250 м.,"договор купли-продажи, технический паспорт",нет,нет,обмен не предлагать,"пластиковые окна, баня, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 128 м2",Кант,Центральная (базарчик)/Пушкина,,$ 75 000,от агента,"другое, 1985 г.",1,"128 м2, кухня: 25 м2",5.4 соток,на твердом топливе,хорошее,есть,оптика,раздельный,септик,центральное водоснабжение,есть,возможно подключение,пустая,дерево,"решетки на окнах, сигнализация, видеонаблюдение",3 м.,"договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать,"пластиковые окна, хозпостройки, навес, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 3-комн., 103 м2",Чуйская область,Бишкек,с. Аламудун,$ 120 000,от агента,"кирпичный, 2001 г.",1,"103 м2, жилая: 42 м2, кухня: 12 м2",10 соток,на газе,хорошее,нет,проводной,раздельный,септик,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,"решетки на окнах, сигнализация, видеонаблюдение",3 м.,"технический паспорт, красная книга",нет,нет,обмен не предлагать,"сауна, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 160 м2",Чуйская область,Бишкек,Ак-Орго ж/м,$ 155 000,от агента,кирпичный,2,160 м2,4 сотки,электрическое,евроремонт,нет,проводной,раздельный,септик,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,"решетки на окнах, сигнализация, видеонаблюдение",3 м.,"технический паспорт, красная книга",нет,нет,обмен не предлагать,"сауна, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 200 м2",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 232 000,от агента,"кирпичный, 2015 г.",2,200 м2,55 соток,на газе,хорошее,есть,оптика,раздельный,септик,центральное водоснабжение,есть,возможно подключение,пустая,дерево,"решетки на окнах, сигнализация, видеонаблюдение",3 м.,"технический паспорт, красная книга",нет,нет,обмен не предлагать,"пластиковые окна, хозпостройки, навес, гараж, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 110 м2",Чуйская область,Бишкек,Советская - Скрябина,$ 270 000,от агента,"кирпичный, 2024 г.",1,"110 м2, жилая: 110 м2",5 соток,на газе,евроремонт,нет,проводной,совмещенный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,ламинат,"домофон, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен на авто,"пластиковые окна, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 300 м2",Чуйская область,Бишкек,Алтын-Ордо ж/м,$ 420 000,от агента,"кирпичный, 2024 г.",2,300 м2,4 сотки,на газе,евроремонт,нет,проводной,совмещенный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,ламинат,"домофон, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, технический паспорт, красная книга",нет,есть,обмен на авто,"пластиковые окна, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 3-комн., 50 м2",Чуйская область,Бишкек,с. Нижняя Ала-Арча,$ 105 000,от агента,другое,1,50 м2,4 сотки,на твердом топливе,среднее,нет,проводной,нет,септик,центральное водоснабжение,есть,магистральный,пустая,линолеум,"домофон, видеодомофон, видеонаблюдение",3 м.,договор купли-продажи,нет,нет,обмен не предлагать,"пластиковые окна, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 330 м2",Чуйская область,Бишкек,Горького - Панфилова,$ 350 000,от агента,"кирпичный, 2005 г.",3,"330 м2, жилая: 330 м2",4.5 сотки,на газе,евроремонт,возможно подключение,проводной,совмещенный,возможно подведение,центральное водоснабжение,есть,магистральный,частично меблирована,ламинат,"решетки на окнах, видеонаблюдение, сигнализация",3 м.,"договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать,"пластиковые окна, баня, сад, хозпостройки, навес, гараж, веранда, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 190 м2",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 200 000,от агента,"кирпичный, 2010 г.",2,"190 м2, кухня: 13 м2",4.5 сотки,на газе,евроремонт,нет,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,полностью меблирована,линолеум,видеонаблюдение,3 м.,"технический паспорт, красная книга",нет,нет,обмен не предлагать,"пластиковые окна, баня, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 284.1 м2",Чуйская область,Бишкек,Пишпек ж/м,$ 365 000,от агента,кирпичный,3,"284.1 м2, жилая: 284.1 м2",8 соток,смешанное,евроремонт,возможно подключение,проводной,2 с/у и более,центральная,центральное водоснабжение,есть,магистральный,полностью меблирована,ламинат,"решетки на окнах, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, красная книга, технический паспорт",нет,нет,обмен не предлагать,"пластиковые окна, сад, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 172 м2",Чуйская область,Бишкек,с. Новопавловка,$ 100 000,от агента,кирпичный,2,"172 м2, жилая: 172 м2",4.3 сотки,смешанное,евроремонт,возможно подключение,проводной,2 с/у и более,центральная,центральное водоснабжение,есть,магистральный,полностью меблирована,ламинат,"решетки на окнах, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, красная книга, технический паспорт",нет,нет,обмен не предлагать,"пластиковые окна, сад, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 135.4 м2",Чуйская область,Бишкек,Келечек ж/м/Курманалиева,$ 117 000,от агента,"кирпичный, 1989 г.",2,"135.4 м2, жилая: 54.3 м2",6.25 соток,смешанное,среднее,возможно подключение,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,частично меблирована,линолеум,видеонаблюдение,3 м.,"договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать,"бассейн, сад, хозпостройки, навес, сауна, гараж",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 253 м2",Чуйская область,Бишкек,Магистраль,$ 325 000,от агента,"монолитный, 2024 г.",2,"253 м2, жилая: 253 м2",4 сотки,смешанное,под самоотделку (псо),нет,оптика,2 с/у и более,септик,центральное водоснабжение,есть,нет,полностью меблирована,ламинат,"решетки на окнах, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, красная книга",нет,есть,обмен не предлагать,"пластиковые окна, сад, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 124 м2",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 135 000,от агента,"монолитный, 2024 г.",2,"124 м2, жилая: 124 м2",8 соток,смешанное,под самоотделку (псо),нет,оптика,2 с/у и более,септик,центральное водоснабжение,есть,нет,полностью меблирована,ламинат,"решетки на окнах, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, красная книга",нет,есть,обмен не предлагать,"пластиковые окна, сад, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 150 м2",Чуйская область,Бишкек,Карла Маркса,$ 215 000,от агента,"кирпичный, 2005 г.",1,150 м2,5 соток,на газе,евроремонт,возможно подключение,проводной,совмещенный,возможно подведение,центральное водоснабжение,есть,магистральный,частично меблирована,ламинат,"решетки на окнах, видеонаблюдение, сигнализация",3 м.,"договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать,"пластиковые окна, баня, сад, хозпостройки, навес, гараж, веранда, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 86.3 м2",Чуйская область,Бишкек,Нижний Токольдош,$ 100 000,от агента,"монолитный, 2024 г.",1,"86.3 м2, жилая: 86.3 м2",6 соток,смешанное,под самоотделку (псо),нет,оптика,2 с/у и более,септик,центральное водоснабжение,есть,нет,полностью меблирована,ламинат,"решетки на окнах, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, красная книга",нет,нет,обмен не предлагать,"пластиковые окна, сад, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 125 м2",Чуйская область,Бишкек,Карпинка,$ 168 000,от агента,"кирпичный, 2016 г.",2,125 м2,2 сотки,центральное,евроремонт,возможно подключение,проводной,раздельный,центральная,центральное водоснабжение,есть,магистральный,полностью меблирована,ламинат,"решетки на окнах, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, технический паспорт, красная книга",нет,нет,обмен не предлагать,"пластиковые окна, сад, хозпостройки, навес, гараж, веранда, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 110 м2",Чуйская область,Бишкек,Ала-Тоо 3 ж-м,$ 102 000,от агента,кирпичный,1,110 м2,4 сотки,смешанное,евроремонт,возможно подключение,проводной,2 с/у и более,центральная,центральное водоснабжение,есть,магистральный,полностью меблирована,ламинат,"решетки на окнах, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, красная книга, технический паспорт",нет,нет,обмен не предлагать,"пластиковые окна, сад, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 200 м2",Ошская область,Ош,,$ 360 000,от собственника,кирпичный,1,"200 м2, жилая: 150 м2",6 соток,смешанное,хорошее,возможно подключение,проводной,2 с/у и более,центральная,центральное водоснабжение,есть,магистральный,полностью меблирована,ламинат,"решетки на окнах, видеодомофон, видеонаблюдение",3 м.,"красная книга, технический паспорт",нет,нет,обмен не предлагать,"пластиковые окна, сад, хозпостройки, навес, гараж, веранда, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 68.14 м2",Чуйская область,Бишкек,с. Аламудун,$ 60 000,от агента,"монолитный, 2024 г.",1,"68.14 м2, жилая: 68.14 м2",4 сотки,смешанное,под самоотделку (псо),нет,оптика,2 с/у и более,септик,центральное водоснабжение,есть,нет,полностью меблирована,ламинат,"решетки на окнах, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, красная книга",нет,есть,обмен не предлагать,"пластиковые окна, сад, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 150 м2",Иссык-Кульская область,с. Бостери,,$ 155 000,от агента,"монолитный, 2024 г.",2,"150 м2, жилая: 150 м2",3 сотки,смешанное,под самоотделку (псо),нет,оптика,2 с/у и более,септик,центральное водоснабжение,есть,нет,полностью меблирована,ламинат,"решетки на окнах, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, красная книга",нет,есть,обмен не предлагать,"пластиковые окна, сад, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 280 м2",Чуйская область,с. Беш-Кунгей,,$ 490 000,от собственника,"монолитный, 2024 г.",3,280 м2,22 сотки,смешанное,под самоотделку (псо),нет,оптика,2 с/у и более,септик,центральное водоснабжение,есть,нет,полностью меблирована,ламинат,"решетки на окнах, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, красная книга",нет,нет,обмен не предлагать,"пластиковые окна, сад, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 2-комн., 71.9 м2",Чуйская область,Бишкек,Арча-Бешик ж/м,$ 190 000,от агента,кирпичный,1,"71.9 м2, жилая: 71.9 м2",8 соток,на газе,хорошее,нет,оптика,2 с/у и более,септик,центральное водоснабжение,есть,нет,полностью меблирована,ламинат,"решетки на окнах, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, красная книга",нет,есть,обмен не предлагать,"пластиковые окна, сад, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 35 м2",Чуйская область,Бишкек,с. Аламудун,$ 220 000,от агента,кирпичный,1,"35 м2, жилая: 35 м2",8 соток,на газе,хорошее,нет,оптика,2 с/у и более,септик,центральное водоснабжение,есть,нет,полностью меблирована,ламинат,"решетки на окнах, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, красная книга",нет,есть,обмен не предлагать,"пластиковые окна, сад, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 310 м2",Чуйская область,Бишкек,Ынтымак ж/м,$ 500 000,от агента,"кирпичный, 2025 г.",2,"310 м2, жилая: 310 м2",8 соток,на газе,под самоотделку (псо),нет,оптика,2 с/у и более,септик,центральное водоснабжение,есть,нет,полностью меблирована,ламинат,"решетки на окнах, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, красная книга",нет,нет,обмен не предлагать,"пластиковые окна, сад, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 300 м2",Чуйская область,Бишкек,КНУ,$ 310 000,от агента,другое,2,"300 м2, жилая: 300 м2",4.5 сотки,на твердом топливе,евроремонт,возможно подключение,оптика,2 с/у и более,септик,центральное водоснабжение,есть,возможно подключение,полностью меблирована,ламинат,"решетки на окнах, видеонаблюдение",3 м.,"договор дарения, технический паспорт, красная книга",нет,есть,обмен не предлагать,"пластиковые окна, бассейн, хозпостройки, навес, сауна, 3 фазы",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 250 м2",с. Беш-Кунгей,Проектируемая,,$ 245 000,от агента,кирпичный,1,"250 м2, жилая: 250 м2",4 сотки,на газе,хорошее,нет,оптика,2 с/у и более,септик,центральное водоснабжение,есть,нет,полностью меблирована,ламинат,"решетки на окнах, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, красная книга",нет,есть,обмен не предлагать,"пластиковые окна, сад, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 6 и более комнат, 200 м2",Чуйская область,Бишкек,Пишпек ж/м,$ 257 000,от агента,кирпичный,2,200 м2,4 сотки,на газе,хорошее,нет,оптика,2 с/у и более,септик,центральное водоснабжение,есть,нет,полностью меблирована,ламинат,"решетки на окнах, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, красная книга",нет,нет,обмен не предлагать,"пластиковые окна, сад, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 120 м2",Чуйская область,Бишкек,Рабочий Городок,$ 146 500,от агента,"кирпичный, 2025 г.",2,"120 м2, жилая: 110 м2, кухня: 20 м2",4 сотки,на газе,под самоотделку (псо),нет,оптика,2 с/у и более,септик,центральное водоснабжение,есть,нет,полностью меблирована,ламинат,"решетки на окнах, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, красная книга",нет,есть,обмен не предлагать,"пластиковые окна, сад, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 4-комн., 110 м2",с. Байтик,пер Исмаилова,,$ 168 000,от агента,"кирпичный, 2016 г.",2,"110 м2, жилая: 110 м2",10 соток,на твердом топливе,хорошее,нет,оптика,совмещенный,центральная,центральное водоснабжение,есть,нет,полностью меблирована,ламинат,"охрана, видеонаблюдение",2.85 м.,договор купли-продажи,нет,есть,обмен не предлагать,"пластиковые окна, бассейн, веранда",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 1-комн., 240 м2",Чуйская область,Бишкек,с. Селекционное,$ 96 500,от агента,другое,3,240 м2,2 сотки,электрическое,под самоотделку (псо),нет,оптика,совмещенный,центральная,центральное водоснабжение,есть,нет,полностью меблирована,ламинат,"охрана, видеонаблюдение",2.85 м.,договор купли-продажи,нет,нет,обмен не предлагать,"пластиковые окна, бассейн, веранда",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
,"Дом, 5-комн., 150 м2",Чуйская область,Бишкек,Азия Молл,$ 208 000,от агента,"кирпичный, 2022 г.",2,"150 м2, жилая: 150 м2, кухня: 20 м2",2 сотки,на газе,евроремонт,нет,оптика,2 с/у и более,септик,центральное водоснабжение,есть,нет,полностью меблирована,ламинат,"решетки на окнах, видеодомофон, видеонаблюдение",3 м.,"договор купли-продажи, красная книга",нет,нет,обмен не предлагать,"пластиковые окна, сад, навес",индивид. планировка,металлическая,вдоль трассы,"свет, газ, вода",гараж
